@relation abc-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R6

@attribute DAY_OF_MONTH numeric
@attribute DAY_OF_WEEK numeric
@attribute CARRIER {AA,B6,DL,EV,MQ,OO,UA,WN}
@attribute ORIGIN {JFK,LAX,DFW,ORD,BOS,DEN,EWR}
@attribute DEP_TIME numeric
@attribute DISTANCE numeric
@attribute DEP_DEL15 {notdelayed,delayed}

@data
18,5,OO,LAX,1,2,notdelayed
1,2,MQ,JFK,1,0,notdelayed
13,7,WN,DEN,1,3,notdelayed
5,6,DL,DEN,1,4,notdelayed
11,5,UA,ORD,0,3,notdelayed
7,1,UA,LAX,2,9,delayed
21,1,UA,ORD,2,0,delayed
18,5,UA,LAX,1,9,notdelayed
17,4,AA,DFW,1,3,delayed
27,7,UA,BOS,1,6,notdelayed
25,5,OO,DEN,1,2,notdelayed
6,7,MQ,ORD,2,2,notdelayed
8,2,AA,ORD,1,6,delayed
27,7,AA,ORD,1,4,delayed
30,3,B6,BOS,2,4,delayed
26,6,AA,LAX,1,8,notdelayed
4,5,EV,DFW,2,1,delayed
4,5,MQ,ORD,2,1,delayed
28,1,AA,EWR,1,5,notdelayed
26,6,EV,DFW,2,0,notdelayed
11,5,WN,LAX,2,4,notdelayed
1,2,OO,LAX,2,2,delayed
10,4,UA,DEN,1,3,notdelayed
21,1,WN,DEN,1,5,notdelayed
27,7,MQ,ORD,1,1,delayed
15,2,UA,LAX,1,1,notdelayed
9,3,WN,BOS,0,7,notdelayed
26,6,DL,JFK,2,9,delayed
8,2,UA,ORD,2,1,delayed
9,3,B6,JFK,1,4,notdelayed
18,5,MQ,ORD,1,2,delayed
22,2,B6,BOS,1,4,notdelayed
17,4,DL,LAX,1,2,delayed
17,4,WN,DEN,0,3,notdelayed
23,3,AA,DFW,2,3,delayed
16,3,UA,EWR,2,10,delayed
27,7,UA,ORD,1,6,notdelayed
11,5,AA,ORD,1,3,delayed
14,1,AA,DFW,1,2,delayed
18,5,AA,DFW,1,15,notdelayed
2,3,OO,DEN,2,1,notdelayed
8,2,UA,ORD,2,3,delayed
2,3,MQ,ORD,1,0,delayed
1,2,UA,DEN,2,2,notdelayed
7,1,AA,LAX,2,4,delayed
24,4,MQ,DFW,1,1,notdelayed
10,4,WN,DEN,2,7,delayed
18,5,AA,DFW,1,4,delayed
19,6,UA,EWR,1,3,notdelayed
30,3,EV,EWR,2,2,delayed
15,2,B6,JFK,1,1,delayed
13,7,MQ,DFW,1,1,delayed
22,2,MQ,ORD,1,1,delayed
28,1,UA,ORD,2,2,delayed
24,4,AA,DFW,1,0,notdelayed
3,4,DL,LAX,1,6,notdelayed
29,2,WN,DEN,2,3,delayed
1,2,UA,ORD,2,3,notdelayed
18,5,OO,ORD,2,1,delayed
5,6,EV,ORD,1,2,delayed
27,7,UA,ORD,1,1,delayed
23,3,UA,ORD,2,3,delayed
15,2,AA,DFW,1,4,notdelayed
21,1,AA,ORD,1,3,delayed
11,5,WN,DEN,2,3,delayed
30,3,WN,LAX,0,1,delayed
2,3,UA,ORD,0,1,notdelayed
21,1,UA,EWR,1,8,delayed
7,1,MQ,DFW,1,0,notdelayed
29,2,WN,DEN,1,1,delayed
24,4,EV,ORD,1,2,notdelayed
5,6,EV,DFW,2,0,notdelayed
23,3,AA,DFW,1,5,delayed
2,3,UA,ORD,2,2,delayed
25,5,B6,JFK,1,1,delayed
15,2,MQ,ORD,1,1,notdelayed
8,2,UA,ORD,1,1,delayed
