@relation abc-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R6

@attribute DAY_OF_MONTH numeric
@attribute DAY_OF_WEEK numeric
@attribute CARRIER {AA,B6,DL,EV,MQ,OO,UA,WN}
@attribute ORIGIN {JFK,LAX,DFW,ORD,BOS,DEN,EWR}
@attribute DEP_TIME numeric
@attribute DISTANCE numeric
@attribute DEP_DEL15 {notdelayed,delayed}

@data
27,7,MQ,ORD,1,1,?
15,2,UA,LAX,1,1,?
9,3,WN,BOS,0,7,?
26,6,DL,JFK,2,9,?
8,2,UA,ORD,2,1,?
9,3,B6,JFK,1,4,?
18,5,MQ,ORD,1,2,?
22,2,B6,BOS,1,4,?
17,4,DL,LAX,1,2,?
17,4,WN,DEN,0,3,?
23,3,AA,DFW,2,3,?
16,3,UA,EWR,2,10,?
27,7,UA,ORD,1,6,?
11,5,AA,ORD,1,3,?
14,1,AA,DFW,1,2,?
18,5,AA,DFW,1,15,?
2,3,OO,DEN,2,1,?
8,2,UA,ORD,2,3,?
2,3,MQ,ORD,1,0,?
1,2,UA,DEN,2,2,?
7,1,AA,LAX,2,4,?
24,4,MQ,DFW,1,1,?
10,4,WN,DEN,2,7,?
18,5,AA,DFW,1,4,?
19,6,UA,EWR,1,3,?
30,3,EV,EWR,2,2,?
15,2,B6,JFK,1,1,?
13,7,MQ,DFW,1,1,?
22,2,MQ,ORD,1,1,?
28,1,UA,ORD,2,2,?
24,4,AA,DFW,1,0,?
3,4,DL,LAX,1,6,?
29,2,WN,DEN,2,3,?
1,2,UA,ORD,2,3,?
18,5,OO,ORD,2,1,?
5,6,EV,ORD,1,2,?
27,7,UA,ORD,1,1,?
23,3,UA,ORD,2,3,?
15,2,AA,DFW,1,4,?
21,1,AA,ORD,1,3,?
11,5,WN,DEN,2,3,?
30,3,WN,LAX,0,1,?
2,3,UA,ORD,0,1,?
21,1,UA,EWR,1,8,?
7,1,MQ,DFW,1,0,?
29,2,WN,DEN,1,1,?
24,4,EV,ORD,1,2,?
5,6,EV,DFW,2,0,?
23,3,AA,DFW,1,5,?
2,3,UA,ORD,2,2,?
25,5,B6,JFK,1,1,?
15,2,MQ,ORD,1,1,?
8,2,UA,ORD,1,1,?
13,7,AA,ORD,1,4,?
17,4,MQ,ORD,2,1,?
23,3,AA,ORD,1,2,?
28,1,EV,EWR,1,2,?
4,5,UA,ORD,1,2,?
17,4,MQ,DFW,1,3,?
10,4,AA,DFW,1,4,?
7,1,UA,BOS,1,3,?
25,5,AA,DFW,2,4,?
12,6,OO,LAX,2,2,?
9,3,AA,EWR,1,4,?
11,5,EV,ORD,2,3,?
2,3,AA,LAX,2,4,?
21,1,UA,EWR,1,4,?
1,2,OO,DFW,0,3,?
8,2,EV,ORD,2,2,?
3,4,AA,DFW,2,5,?
15,2,OO,DEN,0,1,?
16,3,WN,LAX,2,1,?
7,1,AA,JFK,2,2,?
16,3,OO,DEN,2,3,?
15,2,UA,DEN,1,3,?
